"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.48766564131028e-05" "8.95107202320063e-07" "4.40737956266213e-05" "3.82265806905349e-06" "4.40737956266213e-05" "1.14679742071605e-05" "0.00665274588945828" "0.00665274588945828" "0.00548521925524789" "0.00452249532920333"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.9629932699655e-05" "8.35775779658447e-07" "3.79002787728459e-05" "1.89799262765202e-06" "3.79002787728459e-05" "5.69397788295607e-06" "0.00608044567752638" "0.00608044567752638" "0.00574306866874621" "0.00463099737579331"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.4916948029723e-05" "7.20197290344505e-07" "4.74066730869502e-05" "4.81686621968024e-06" "4.74066730869502e-05" "1.44505986590407e-05" "0.00684585844540044" "0.00684585844540044" "0.00492508263662085" "0.00441560357571981"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.38855113401083e-05" "9.36803599657195e-07" "4.52077770150287e-05" "5.25071542205916e-06" "4.52077770150287e-05" "1.57521462661775e-05" "0.00673095031582424" "0.00673095031582424" "0.00537383179519502" "0.00402896591126993"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.3226547863599e-05" "7.35055182506434e-07" "2.9864914886319e-05" "1.95705374397671e-06" "2.9864914886319e-05" "5.87116123193012e-06" "0.00547149157493088" "0.00547149157493088" "0.00509716035645759" "0.00469618144241286"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.73983422372922e-05" "7.59097589099565e-07" "2.94556405187813e-05" "2.10670622155418e-06" "2.94556405187813e-05" "6.32011866466255e-06" "0.00542988861608161" "0.00542988861608161" "0.00521072824564989" "0.00407600848292665"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.28829795644031e-05" "7.07860917720192e-07" "2.91041592047721e-05" "2.1589718037791e-06" "2.91041592047721e-05" "6.47691541133731e-06" "0.00538439314312968" "0.00538439314312968" "0.00524466779671535" "0.0051604760815746"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.37681562503963e-05" "8.01249919066774e-07" "3.47071386268772e-05" "2.98076441767164e-06" "3.47071386268772e-05" "8.94229325301491e-06" "0.00588414351793208" "0.00588414351793208" "0.00540576285463357" "0.00425102865380146"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.73815658773481e-05" "7.29377459882286e-07" "2.84664117051136e-05" "1.74460456639701e-06" "2.84664117051136e-05" "5.23381369919103e-06" "0.0052562300947197" "0.0052562300947197" "0.00495195255315585" "0.00473008574245013"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.10019000203754e-05" "7.63171367830424e-07" "3.45829069107884e-05" "3.21180424357093e-06" "3.45829069107884e-05" "9.63541273071279e-06" "0.00589568391817675" "0.00589568391817675" "0.0052613034240212" "0.00375372822103536"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.65807839440071e-05" "6.95150806063003e-07" "4.73300857238754e-05" "3.48316835924631e-06" "4.73300857238754e-05" "1.04495050777389e-05" "0.00652619916484021" "0.00652619916484021" "0.00610958714252989" "0.00454618461520534"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "2.80108695584721e-05" "8.57553468951258e-07" "4.36951800546967e-05" "4.87312637999073e-06" "4.36951800546967e-05" "1.46193791399722e-05" "0.00635726398165876" "0.00635726398165876" "0.00515021218338846" "0.00387690503863174"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.90411310033302e-05" "6.99126998527252e-07" "3.53909442409385e-05" "2.61259582511708e-06" "3.53909442409385e-05" "7.83778747535123e-06" "0.00590643838754214" "0.00590643838754214" "0.00519354055462365" "0.00428823471164767"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.77365960710658e-05" "8.49733445854303e-07" "4.15636210344849e-05" "2.49450765348252e-06" "4.15636210344849e-05" "7.48352296044757e-06" "0.00644248548325236" "0.00644248548325236" "0.00595358265436635" "0.00504668624986284"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.55834120552091e-05" "8.09725816560385e-07" "4.0220707260948e-05" "3.19938227701309e-06" "4.0220707260948e-05" "9.59814683103928e-06" "0.00631576402087381" "0.00631576402087381" "0.0056799608831099" "0.00428826366302625"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.94208409252929e-05" "7.7662040115804e-07" "3.75001132227595e-05" "2.21488278778953e-06" "3.75001132227595e-05" "6.64464836336859e-06" "0.00611727119622231" "0.00611727119622231" "0.00565370496308212" "0.00481520004573145"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.43107962581145e-05" "8.77779521462252e-07" "3.04423680348831e-05" "1.94826428783647e-06" "3.04423680348831e-05" "5.84479286350942e-06" "0.00553212416192507" "0.00553212416192507" "0.00528644761842422" "0.00443192622957529"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.39175625578982e-05" "7.28628444127453e-07" "2.97689929097881e-05" "2.07066832952383e-06" "2.97689929097881e-05" "6.2120049885715e-06" "0.00547018348469624" "0.00547018348469624" "0.00519465838621956" "0.00431180513992123"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.8276285133797e-05" "6.81185650210674e-07" "3.0264860134096e-05" "1.86479139824271e-06" "3.0264860134096e-05" "5.59437419472814e-06" "0.00545520150156779" "0.00545520150156779" "0.00508677201964639" "0.00403108422677725"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.71697804600071e-05" "8.04850481279419e-07" "3.13174329572907e-05" "1.93269067097805e-06" "3.13174329572907e-05" "5.79807201293415e-06" "0.00558345972762006" "0.00558345972762006" "0.00506994946536905" "0.00420158893388854"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.102983586321e-05" "1.02983785154124e-06" "3.28693557324492e-05" "1.73503318598479e-06" "3.28693557324492e-05" "5.20509955795437e-06" "0.00577357780543589" "0.00577357780543589" "0.00527579836846457" "0.00476930408208474"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.60637315024616e-05" "7.81796650210017e-07" "2.98115433412658e-05" "1.61284608649348e-06" "2.98115433412658e-05" "4.83853825948044e-06" "0.0054016982706161" "0.0054016982706161" "0.00544134800512052" "0.00437450751939685"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.02767886323729e-05" "7.9647513705223e-07" "3.68098535993715e-05" "2.17372928576451e-06" "3.68098535993715e-05" "6.52118785729354e-06" "0.00607820959460609" "0.00607820959460609" "0.00578066146170863" "0.00418584201962207"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.91627442453463e-05" "7.71266624614878e-07" "3.34526266730533e-05" "1.46502351543872e-06" "3.34526266730533e-05" "4.39507054631617e-06" "0.00558687908934932" "0.00558687908934932" "0.00572058561756152" "0.0045906285346812"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.78348062356672e-05" "8.03390965046291e-07" "2.99345250098969e-05" "1.75416137843391e-06" "2.99345250098969e-05" "5.26248413530172e-06" "0.00548677463232931" "0.00548677463232931" "0.00529893472176961" "0.00512113027716229"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.02746538669162e-05" "8.44803649716952e-07" "4.93582530549747e-05" "5.87926760475468e-06" "4.93582530549747e-05" "1.7637802814264e-05" "0.00687814516414096" "0.00687814516414096" "0.00540450462058645" "0.0044048103333991"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.1502172888013e-05" "9.11290402917134e-07" "3.05999120123307e-05" "2.5836096893651e-06" "3.05999120123307e-05" "7.7508290680953e-06" "0.00556457859481047" "0.00556457859481047" "0.0048291413147799" "0.00385569397859127"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "4.20726879572021e-05" "6.91690394424017e-07" "4.39496430195094e-05" "3.08606119295747e-06" "4.39496430195094e-05" "9.25818357887242e-06" "0.00656036940642513" "0.00656036940642513" "0.00608051889339431" "0.00470077003890168"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.97488987730866e-05" "7.5774536436298e-07" "3.18198746826944e-05" "1.90053462518415e-06" "3.18198746826944e-05" "5.70160387555244e-06" "0.00561443159836183" "0.00561443159836183" "0.00537197847347496" "0.00451392838727434"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.26625970041773e-05" "8.94326689352592e-07" "3.94941506017898e-05" "1.75527588798133e-06" "3.94941506017898e-05" "5.26582766394398e-06" "0.0062052900464625" "0.0062052900464625" "0.00560197161995912" "0.00396097538695898"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.46353206876123e-05" "8.86759818296292e-07" "3.99903164008018e-05" "3.55879392054009e-06" "3.99903164008018e-05" "1.06763817616203e-05" "0.00624006368768531" "0.00624006368768531" "0.00524976341755237" "0.00422137207148315"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.69004748048805e-05" "7.38916327430421e-07" "3.8444527992229e-05" "6.73638429077986e-06" "3.8444527992229e-05" "2.02091528723396e-05" "0.00622308534660724" "0.00622308534660724" "0.00549914749606443" "0.00485506059845051"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "3.89868483366869e-05" "1.00657296784747e-06" "3.30174806718709e-05" "1.78029533961155e-06" "3.30174806718709e-05" "5.34088601883466e-06" "0.00576842616403085" "0.00576842616403085" "0.00565259583952447" "0.00431842801338223"
"lm" "svmRadial" "1" "3" "0" "0.02" "3" "3" "3.33041843372463e-05" "7.34440512493508e-07" "4.1240944704156e-05" "3.99861282638515e-06" "4.1240944704156e-05" "1.19958384791555e-05" "0.00647147847549548" "0.00647147847549548" "0.00513648432594119" "0.00387173938303063"
"lm" "svmRadial" "1" "3" "0" "0.01" "3" "3" "4.23619858941162e-05" "7.47028802973585e-07" "3.90252000314438e-05" "1.70621575078017e-06" "3.90252000314438e-05" "5.11864725234052e-06" "0.00626180265535009" "0.00626180265535009" "0.00603504927445403" "0.00530140368452015"
