model1,model2,MEC1,MEC2,IAS1,IAS2,NF1,NF2,MSE_Train1,MSE_Train2,MSE_Test1,MSE_Test2,MSE_Test_MEC_prop1,MSE_Test_MEC_prop2,Base_Ret1,Base_Ret2,Hedge_Ret1,Hedge_Ret2
lm,svmRadial,1,1,0,0.01,3,3,1.06962290105579E-06,6.27791878766261E-06,1.0033717924549E-06,3.61573361918089E-05,1.0033717924549E-06,3.61573361918089E-05,0.046060516066466,0.046060516066466,0.00100220561401659,0.0180798458342781
lm,svmRadial,1,1,0,0.01,3,3,1.12270206905562E-06,6.23450551422687E-06,9.61991540579822E-07,6.27652960546676E-05,9.61991540579822E-07,6.27652960546676E-05,0.0473334971764144,0.0473334971764144,0.000978096110037143,0.0186672242608571
lm,svmRadial,1,1,0,0,3,3,9.59642695230726E-07,5.84242522879605E-06,1.06438239189003E-06,7.96378739499056E-05,1.06438239189003E-06,7.96378739499056E-05,0.0516234397467445,0.0516234397467445,0.00103544822728211,0.0147683484323171
lm,svmRadial,1,1,0,0,3,3,9.37197451532358E-07,6.27974317924481E-06,1.02218136320256E-06,8.79550489790449E-05,1.02218136320256E-06,8.79550489790449E-05,0.0498243336687916,0.0498243336687916,0.00100421763694629,0.0170857742697333
lm,svmRadial,1,1,0,0.01,3,3,8.83688143566768E-07,6.35003314147146E-06,1.08545825980803E-06,7.58914589066793E-05,1.08545825980803E-06,7.58914589066793E-05,0.047686397469252,0.047686397469252,0.00104182448446976,0.017042154041555
lm,svmRadial,1,1,0,0.01,3,3,1.01040748214155E-06,6.72465611821399E-06,1.03876507360976E-06,5.37928219164049E-05,1.03876507360976E-06,5.37928219164049E-05,0.0459838546161938,0.0459838546161938,0.00102549292691079,0.0125209362754225
lm,svmRadial,1,1.1810055452479,0,0.01,3,3,9.72103676274823E-07,6.31568516259605E-06,1.0646252693622E-06,4.49579510147496E-05,1.0646252693622E-06,5.30955894514028E-05,0.0474086651000878,0.0474086651000878,0.00103169249089439,0.018595929462451
lm,svmRadial,1,1,0,0.01,3,3,9.83814833083609E-07,6.5766559828739E-06,9.37272745647155E-07,4.87491113114386E-05,9.37272745647155E-07,4.87491113114386E-05,0.0478285842478006,0.0478285842478006,0.000969651495123935,0.0125191182673219
lm,svmRadial,1,1,0,0,3,3,1.06099539496303E-06,6.99002148402028E-06,1.12455429230655E-06,7.46232612665139E-05,1.12455429230655E-06,7.46232612665139E-05,0.0483756642097512,0.0483756642097512,0.00104488969302179,0.0165704480984136
lm,svmRadial,1,1,0,0.01,3,3,1.01788218306834E-06,6.99215491236402E-06,9.32595487477366E-07,3.43034246936306E-05,9.32595487477366E-07,3.43034246936306E-05,0.0501411224730671,0.0501411224730671,0.000968275786899546,0.0174266294828408
lm,svmRadial,1,1,0,0,3,3,1.03355148373693E-06,5.31235614309911E-06,1.04017773446711E-06,3.78780400762891E-05,1.04017773446711E-06,3.78780400762891E-05,0.0453307080962073,0.0453307080962073,0.00102159123535424,0.0167694894630156
lm,svmRadial,1,1,0,0,3,3,1.00393480815898E-06,6.55923731439525E-06,9.75785151584129E-07,4.22032358709297E-05,9.75785151584129E-07,4.22032358709297E-05,0.0462612516470764,0.0462612516470764,0.000986774489935456,0.0158769678881979
lm,svmRadial,1,1.2045397989092,0,0.01,3,3,9.66731369025585E-07,6.67409070347812E-06,1.09219056595509E-06,0.000129950704279532,1.09219056595509E-06,0.000156530795200975,0.0482514825340936,0.0482514825340936,0.00103411567862155,0.0176273932114963
lm,svmRadial,1,1,0,0.01,3,3,1.02822625203111E-06,7.63236962306392E-06,9.58157918513172E-07,5.7547400702296E-05,9.58157918513172E-07,5.7547400702296E-05,0.047363005403286,0.047363005403286,0.000973436040583674,0.0169447978799028
lm,svmRadial,1,1,0,0.01,3,3,9.0987685849524E-07,6.73504476275203E-06,1.08042125928617E-06,6.81891972062678E-05,1.08042125928617E-06,6.81891972062678E-05,0.0475968901219927,0.0475968901219927,0.00103196163897315,0.0181982500184536
lm,svmRadial,1,1,0,0.01,3,3,1.01420633455836E-06,5.89497295245889E-06,9.19955175186564E-07,3.87299690137923E-05,9.19955175186564E-07,3.87299690137923E-05,0.0477799067368231,0.0477799067368231,0.000960076005033056,0.0195684277207209
lm,svmRadial,1,1,0,0.01,3,3,1.01939381234127E-06,7.62122058508088E-06,9.60616272217061E-07,5.2335687647109E-05,9.60616272217061E-07,5.2335687647109E-05,0.0481437281776725,0.0481437281776725,0.000977213519841745,0.020777805686241
lm,svmRadial,1,1,0,0,3,3,9.59696546384892E-07,6.6336414092901E-06,9.58926450201729E-07,4.23211050928491E-05,9.58926450201729E-07,4.23211050928491E-05,0.0488274589509301,0.0488274589509301,0.000970727734825646,0.021407896676445
lm,svmRadial,1,1.21723690707558,0,0.01,3,3,1.0045077368688E-06,7.09331587397673E-06,9.79798236149476E-07,0.000113332172640362,9.79798236149476E-07,0.00013795210329691,0.0486988699670482,0.0486988699670482,0.000990821465499962,0.0212389979022424
lm,svmRadial,1,1,0,0,3,3,9.34362066624485E-07,6.08959827982331E-06,1.05708740593784E-06,7.23248427814055E-05,1.05708740593784E-06,7.23248427814055E-05,0.0504990999797926,0.0504990999797926,0.00102530782979412,0.0218510308471841
lm,svmRadial,1,1,0,0.01,3,3,9.9054484302143E-07,7.94452684993564E-06,1.06088749530441E-06,5.25988812280108E-05,1.06088749530441E-06,5.25988812280108E-05,0.0470962436644538,0.0470962436644538,0.00102116363563523,0.0168963232572738
lm,svmRadial,1,1,0,0.01,3,3,9.72909103333151E-07,6.64844246542907E-06,1.00308557047128E-06,7.72635454066558E-05,1.00308557047128E-06,7.72635454066558E-05,0.0466227094677353,0.0466227094677353,0.000997388506734207,0.0166825276999208
lm,svmRadial,1,1,0,0.01,3,3,1.11528426558272E-06,6.56694336892132E-06,8.67878664969243E-07,6.4964172720711E-05,8.67878664969243E-07,6.4964172720711E-05,0.049079600039568,0.049079600039568,0.000928221459800049,0.0192871570739153
lm,svmRadial,1,1.46667796092396,0,0.01,3,3,8.99334681343851E-07,6.66295369860299E-06,1.01926209178695E-06,3.56560383076561E-05,1.01926209178695E-06,5.22959255596997E-05,0.0473482785480587,0.0473482785480587,0.00100869361772,0.0185770494159809
lm,svmRadial,1,1,0,0.01,3,3,9.73040950559896E-07,6.81941614836737E-06,9.86740557950205E-07,4.45863293308745E-05,9.86740557950205E-07,4.45863293308745E-05,0.0458328254305682,0.0458328254305682,0.000993526357296909,0.0230933039376144
lm,svmRadial,1,1,0,0.01,3,3,1.0406581524966E-06,5.82071342212638E-06,9.57556065036959E-07,6.46879381569542E-05,9.57556065036959E-07,6.46879381569542E-05,0.0474826269832174,0.0474826269832174,0.000970790384994282,0.0170908226628357
lm,svmRadial,1,1,0,0.01,3,3,1.04897021486687E-06,6.09186025247343E-06,1.03222301982268E-06,3.85821431151121E-05,1.03222301982268E-06,3.85821431151121E-05,0.0457018959758432,0.0457018959758432,0.00101035607554135,0.0198759120082811
lm,svmRadial,1,1,0,0,3,3,1.05126366132456E-06,0.0000067399249532,1.02627128437463E-06,5.26670760768526E-05,1.02627128437463E-06,5.26670760768526E-05,0.0476268363733174,0.0476268363733174,0.00101468323729564,0.0197015633127923
lm,svmRadial,1,1,0,0.01,3,3,1.0786395749618E-06,7.14302629972519E-06,1.04889887230875E-06,2.9325151226015E-05,1.04889887230875E-06,2.9325151226015E-05,0.0488988894036835,0.0488988894036835,0.00102610871979433,0.0216741889137128
lm,svmRadial,1,1,0,0.01,3,3,9.04100113832945E-07,7.74447372209767E-06,9.41694275940856E-07,7.90562639164118E-05,9.41694275940856E-07,7.90562639164118E-05,0.0477171998062649,0.0477171998062649,0.000974840366963016,0.0176878072038935
lm,svmRadial,1,1,0,0.01,3,3,9.40653079482915E-07,6.23536779945521E-06,1.05955031738214E-06,3.18331388487275E-05,1.05955031738214E-06,3.18331388487275E-05,0.0478333849400064,0.0478333849400064,0.00102609471701669,0.0161351720993272
lm,svmRadial,1,1,0,0.01,3,3,9.38213027447802E-07,6.40928793094306E-06,9.31809356354732E-07,0.000145363023604686,9.31809356354732E-07,0.000145363023604686,0.0486361249830299,0.0486361249830299,0.000951742784865102,0.0198510226713188
