"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"lm" "svmRadial" "1" "3.04896162720543" "0" "0.1" "3" "3" "2.14046974846837e-06" "8.76890422702279e-07" "2.0334745898162e-06" "1.51610924225582e-06" "2.0334745898162e-06" "4.6225589022895e-06" "0.0020443870425632" "0.0020443870425632" "0.00133592414505975" "0.00218924415306555"
"lm" "svmRadial" "1" "3" "0" "0.06" "3" "3" "2.15199778438425e-06" "8.38901436648335e-07" "2.4738617410947e-06" "1.64755559318597e-06" "2.4738617410947e-06" "4.94266677955791e-06" "0.00227208326105578" "0.00227208326105578" "0.00147967190607453" "0.00255540517040127"
"lm" "svmRadial" "1" "3" "0" "0.07" "3" "3" "1.79263154324567e-06" "9.65141664074131e-07" "3.25398835745012e-06" "2.94337881287584e-06" "3.25398835745012e-06" "8.83013643862752e-06" "0.00241799680360055" "0.00241799680360055" "0.00135602589058683" "0.00189380665150935"
"lm" "svmRadial" "1" "2.92167528152603" "0" "0.09" "3" "3" "1.77391466635274e-06" "1.09790570311562e-06" "2.08027814091545e-06" "2.05271527883638e-06" "2.08027814091545e-06" "5.99736749018706e-06" "0.00209084794409906" "0.00209084794409906" "0.00126580698395451" "0.00203628525871577"
"lm" "svmRadial" "1" "3" "0" "0.06" "3" "3" "2.00780757095161e-06" "7.99843425153016e-07" "2.26607895885699e-06" "1.70775076156927e-06" "2.26607895885699e-06" "5.1232522847078e-06" "0.00221685064061928" "0.00221685064061928" "0.00135514183082366" "0.00266636367540106"
"lm" "svmRadial" "1" "3.09828123529603" "0" "0.09" "3" "3" "2.41681367240253e-06" "8.27150657478878e-07" "2.61268867109723e-06" "1.96576567465311e-06" "2.61268867109723e-06" "6.09049490276677e-06" "0.00231297864584505" "0.00231297864584505" "0.00159184982204593" "0.00298356750008577"
"lm" "svmRadial" "1" "2.89909587162297" "0" "0.07" "3" "3" "2.79528707570455e-06" "7.9770579316833e-07" "1.82740628021942e-06" "1.37563663002615e-06" "1.82740628021942e-06" "3.98810247496216e-06" "0.00189073028725116" "0.00189073028725116" "0.00126467040894979" "0.00254718470423609"
"lm" "svmRadial" "1" "3.07540416632752" "0" "0.1" "3" "3" "2.91737872354545e-06" "9.56051146566119e-07" "1.99789671054083e-06" "1.63259448694252e-06" "1.99789671054083e-06" "5.02088788706635e-06" "0.00202501330724209" "0.00202501330724209" "0.00136175951695024" "0.0025026905078971"
"lm" "svmRadial" "1" "3" "0" "0.09" "3" "3" "1.89854110755138e-06" "7.83669588787684e-07" "1.48873539182915e-06" "1.45095557214042e-06" "1.48873539182915e-06" "4.35286671642127e-06" "0.00173922556326901" "0.00173922556326901" "0.00118721651759568" "0.00262474891333456"
"lm" "svmRadial" "1" "3" "0" "0.07" "3" "3" "2.29207594266382e-06" "9.47959497324374e-07" "2.31386572829779e-06" "1.43301929814317e-06" "2.31386572829779e-06" "4.29905789442952e-06" "0.00217321535409398" "0.00217321535409398" "0.00143270172966241" "0.00263609790592941"
