"model1" "model2" "MEC1" "MEC2" "IAS1" "IAS2" "NF1" "NF2" "MSE_Train1" "MSE_Train2" "MSE_Test1" "MSE_Test2" "MSE_Test_MEC_prop1" "MSE_Test_MEC_prop2" "Base_Ret1" "Base_Ret2" "Hedge_Ret1" "Hedge_Ret2"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.06962290105579e-06" "6.27791878766261e-06" "1.0033717924549e-06" "3.61573361918089e-05" "1.0033717924549e-06" "3.61573361918089e-05" "0.046060516066466" "0.046060516066466" "0.00100220561401659" "0.0180798458342781"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.12270206905562e-06" "6.23450551422687e-06" "9.61991540579822e-07" "6.27652960546676e-05" "9.61991540579822e-07" "6.27652960546676e-05" "0.0473334971764144" "0.0473334971764144" "0.000978096110037143" "0.0186672242608571"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.59642695230726e-07" "5.84242522879605e-06" "1.06438239189003e-06" "7.96378739499056e-05" "1.06438239189003e-06" "7.96378739499056e-05" "0.0516234397467445" "0.0516234397467445" "0.00103544822728211" "0.0147683484323171"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "9.37197451532358e-07" "6.27974317924481e-06" "1.02218136320256e-06" "8.79550489790449e-05" "1.02218136320256e-06" "8.79550489790449e-05" "0.0498243336687916" "0.0498243336687916" "0.00100421763694629" "0.0170857742697333"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "8.83688143566768e-07" "6.35003314147146e-06" "1.08545825980803e-06" "7.58914589066793e-05" "1.08545825980803e-06" "7.58914589066793e-05" "0.047686397469252" "0.047686397469252" "0.00104182448446976" "0.017042154041555"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.01040748214155e-06" "6.72465611821399e-06" "1.03876507360976e-06" "5.37928219164049e-05" "1.03876507360976e-06" "5.37928219164049e-05" "0.0459838546161938" "0.0459838546161938" "0.00102549292691079" "0.0125209362754225"
"1" "lm" "svmRadial" "1" "1.1810055452479" "0" "0.01" "3" "3" "9.72103676274823e-07" "6.31568516259605e-06" "1.0646252693622e-06" "4.49579510147496e-05" "1.0646252693622e-06" "5.30955894514028e-05" "0.0474086651000878" "0.0474086651000878" "0.00103169249089439" "0.018595929462451"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "9.83814833083609e-07" "6.5766559828739e-06" "9.37272745647155e-07" "4.87491113114386e-05" "9.37272745647155e-07" "4.87491113114386e-05" "0.0478285842478006" "0.0478285842478006" "0.000969651495123935" "0.0125191182673219"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.06099539496303e-06" "6.99002148402028e-06" "1.12455429230655e-06" "7.46232612665139e-05" "1.12455429230655e-06" "7.46232612665139e-05" "0.0483756642097512" "0.0483756642097512" "0.00104488969302179" "0.0165704480984136"
"1" "lm" "svmRadial" "1" "1" "0" "0.01" "3" "3" "1.01788218306834e-06" "6.99215491236402e-06" "9.32595487477366e-07" "3.43034246936306e-05" "9.32595487477366e-07" "3.43034246936306e-05" "0.0501411224730671" "0.0501411224730671" "0.000968275786899546" "0.0174266294828408"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.03355148373693e-06" "5.31235614309911e-06" "1.04017773446711e-06" "3.78780400762891e-05" "1.04017773446711e-06" "3.78780400762891e-05" "0.0453307080962073" "0.0453307080962073" "0.00102159123535424" "0.0167694894630156"
"1" "lm" "svmRadial" "1" "1" "0" "0" "3" "3" "1.00393480815898e-06" "6.55923731439525e-06" "9.75785151584129e-07" "4.22032358709297e-05" "9.75785151584129e-07" "4.22032358709297e-05" "0.0462612516470764" "0.0462612516470764" "0.000986774489935456" "0.0158769678881979"
